name,height,weight
E'Twaun Moore,6.4,191lb
Reggie Geary,6.2,187lb
Chris Carrawell,6.6,210lb
Tim Young,7,220lb
Peyton Siva,6,185lb
Roy Devyn Marble,6.6,200lb
Daniel Hamilton,6.7,190lb
Luis Flores,6.2,200lb
J.R. Henderson Jr,6.8,226lb
Sasha Kaun,6.11,250lb
Branden Dawson,6.6,225lb
Alex Oriakhi,6.9,225lb
Sammy Mejia,6.6,195lb
Drew Barry,6.5,191lb
Cuonzo Martin,6.5,213lb
Abdel Nader,6.6,230lb
Robbie Hummel,6.8,215lb
Lester Hudson,6.3,190lb
Deshaun Thomas,6.7,215lb
Jordan McRae,6.5,200lb
Derrick Caracter,6.9,275lb
Joe Crawford,6.5,210lb
J.P. Tokoto,6.6,200lb
D.J. Strawberry Jr,6.5,201lb
Xavier Thames,6.3,195lb
Blake Stepp,6.4,192lb
Stanley Robinson,6.9,210lb
Marcus Denmon,6.3,185lb
Cory Jefferson,6.9,220lb
Tyrone Wallace,6.5,200lb
Isaiah Thomas,5.8,185lb
Robert Dozier,6.9,220lb
Robert Sacre,7,260lb
Deon Thomas,6.9,238lb
George Ackles,6.9,216lb
Ryan Minor,6.7,220lb
Doron Sheffer,6.5,200lb
Conrad McRae,6.1,222lb
Rashard Griffith,6.11,280lb
Thomas Hill,6.5,200lb
Marcus Mann,6.8,245lb
Steve Rogers,6.5,190lb
Louis Bullock,6.1,180lb
Damon Bailey,6.3,200lb
Mark Karcher,6.5,215lb
Phil Henderson,6.4,180lb
Joey Wright,6.3,185lb
Melvin Levett,6.3,215lb
Kris Clack,6.5,230lb
Scoonie Penn,5.11,180lb
Darnell Robinson,6.11,270lb
Constantin Popa,7.3,235lb
Elden Campbell,6.11,215lb
Marlon Maxey,6.8,250lb
Les Jepsen,7,237lb
Lucious Harris Jr,6.5,190lb
Dyron Nix,6.7,210lb
Frank Kornet,6.9,225lb
Carl Herrera,6.9,215lb
Trenton Hassell,6.5,200lb
Howard Eisley,6.2,177lb
John Celestand,6.4,178lb
Ansu Sesay,6.9,225lb
Negele Knight,6.1,175lb
Mark Hendrickson,6.9,220lb
Evers Burns,6.8,260lb
Roger Mason Jr,6.5,200lb
Gabe Pruitt,6.4,170lb
Terrence Rencher,6.3,185lb
Brent Price,6.1,165lb
Jermaine Taylor,6.4,205lb
Walter Sharpe III,6.9,245lb
Michael Ruffin,6.9,246lb
Jackson Vroman,6.1,220lb
Chad Gallagher,6.1,255lb
Justin Harper,6.1,225lb
Jim McIlvaine,7.1,240lb
Solomon Jones III,6.1,230lb
Moochie Norris,6.1,175lb
Donald Hodge,7,230lb
Walter Palmer,7.1,215lb
Jordan Mickey,6.8,235lb
Brandon Bass,6.8,240lb
Bernard James ,6.1,240lb
Will Solomon,6.1,185lb
Carrick Felix,6.6,197lb
Gary Leonard,7.1,250lb
Armon Johnson,6.3,195lb
Lionel Chalmers Jr,6,180lb
Gaylon Nickerson,6.3,190lb
Myron Brown,6.7,220lb
Andrew DeClercq,6.1,230lb
Darnell Mee,6.5,175lb
Evan Eschmeyer,6.11,255lb
Tyler Honeycutt,6.9,180lb
P.J. Tucker Jr,6.5,225lb
DeAndre Jordan Jr,6.11,250lb
Bubba Wells,6.5,230lb
Lawrence Moten III,6.5,185lb
Duane Cooper,6.1,185lb
Kebu Stewart,6.8,239lb
Jerome James,7,300lb
Terrico White,6.5,213lb
Jeff Trepagnier,6.4,200lb
Mario Austin,6.9,260lb
Luc Richard Mbah a Moute,6.8,230lb
Elliot Perry,6,150lb
Travis Hansen,6.6,205lb
Damone Brown,6.9,200lb
Casey Shaw,6.11,260lb
Darington Hobson,6.7,205lb
Dontonio Wingfield,6.8,256lb
Trey Thompkins III,6.1,245lb
Isaiah Morris,6.8,229lb
Obinna Ekezie,6.9,270lb
Tito Maddox,6.4,190lb
DeMarco Johnson,6.9,245lb
Eduardo Najera,6.8,240lb
Darrin Hancock,6.7,205lb
Elmer Bennett,6,170lb
Sonny Weems,6.6,203lb
Jimmy Oliver,6.5,205lb
Von Wafer,6.5,210lb
Jerald Honeycutt,6.9,245lb
Litterial Green,6.1,185lb
Dwayne Whitfield,6.9,240lb
Jeff Webster,6.8,232lb
Hanno Mottola,6.11,247lb
Derrick Zimmerman,6.3,195lb
Francisco Elson,7,235lb
Sean Green,6.5,210lb
Stephen Zimmerman Jr.,7,240lb
