name,season,school,conf,class,G,GS,MP_per,FG_per,FGA_per,FG%_per,2P_per,2PA_per,2P%_per,3P_per,3PA_per,3P%_per,FT_per,FTA_per,FT%_per,ORB_per,DRB_per,TRB_per,AST_per,STL_per,BLK_per,TOV_per,PF_per,PTS_per,SOS
Bimbo Coles,1988-89,Virginia Tech,Metro,JR,27,27,34.2,9.2,20.3,0.455,6.9,14.1,0.491,2.3,6.1,0.373,5.8,7.4,0.785,,,4.1,5.2,1.9,0.1,3,2.7,26.6,6.79
Bimbo Coles,1989-90,Virginia Tech,Metro,SR,31,,37,9,22.4,0.404,6.9,15.3,0.448,2.2,7,0.307,5.1,6.9,0.738,,,4.7,3.9,2.3,0.4,3.3,2.7,25.3,4
Bimbo Coles,Career,Virginia Tech,,,115,74,33.2,7.6,17.6,0.429,6.3,13.6,0.46,1.3,4,0.324,5.2,6.9,0.748,,,3.9,4.8,1.9,0.2,3,2.9,21.6,5
Grant Jerrett,2012-13,Arizona,Pac-12,FR,34,2,17.8,1.9,4.5,0.409,0.9,2.2,0.413,0.9,2.3,0.405,0.5,0.6,0.818,1.1,2.5,3.6,0.5,0.5,1,0.6,1.3,5.2,7.48
Grant Jerrett,Career,Arizona,,,34,,17.8,1.9,4.5,0.409,0.9,2.2,0.413,0.9,2.3,0.405,0.5,0.6,0.818,1.1,2.5,3.6,0.5,0.5,1,0.6,1.3,5.2,7.48
Marcus Mann,1994-95,Mississippi Valley State,SWAC,JR,27,2,29.9,7.1,12.9,0.55,7.1,12.9,0.55,0,0,,2.5,4.2,0.596,,,11.7,0.9,1.1,0.3,1.4,1.7,16.7,-11.62
Marcus Mann,1995-96,Mississippi Valley State,SWAC,SR,29,,34.8,8.7,14.3,0.605,8.6,14.2,0.605,0,0.1,0.5,4.3,6.8,0.64,,,13.6,1.6,1.3,1,2.6,2.1,21.7,-11.92
Marcus Mann,Career,Mississippi Valley State,,,56,23,32.4,7.9,13.6,0.58,7.9,13.6,0.58,0,0,0.5,3.5,5.6,0.624,,,12.7,1.2,1.2,0.7,2,1.9,19.3,-11.77
Steve Rogers,1987-88,Middle Tennessee,OVC,FR,28,0,9.2,0.9,1.8,0.5,0.8,1.4,0.59,0.1,0.4,0.182,1.3,2.1,0.603,,,1.8,0.6,0.4,0.3,0.8,1.2,3.1,-0.59
Steve Rogers,1988-89,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Rogers,1989-90,Alabama State,SWAC,SO,28,,35.2,10.2,19.6,0.522,8.6,14.9,0.577,1.6,4.7,0.348,7.6,10.4,0.732,,,6.6,3.8,3.1,0.1,3.3,2.5,29.7,-8.05
Steve Rogers,1990-91,Alabama State,SWAC,JR,29,29,36.6,9.4,18.8,0.5,7.5,13.8,0.544,1.9,5.1,0.381,8.6,11.4,0.753,,,7.1,4.2,2.5,0.4,3.1,2.7,29.4,-11.12
Steve Rogers,1991-92,Alabama State,SWAC,SR,28,28,36.6,8.3,18,0.461,5.4,11,0.487,3,7,0.421,7.7,9.8,0.785,,,6.5,4.6,2.4,0.4,3.1,2.4,27.3,-9.95
Steve Rogers,Career,Overall,,,113,57,29.5,7.2,14.6,0.495,5.6,10.3,0.542,1.7,4.3,0.384,6.3,8.5,0.747,,,5.5,3.3,2.1,0.3,2.6,2.2,22.4,-7.43
Steve Rogers,,Middle Tennessee,,,28,0,9.2,0.9,1.8,0.5,0.8,1.4,0.59,0.1,0.4,0.182,1.3,2.1,0.603,,,1.8,0.6,0.4,0.3,0.8,1.2,3.1,
Steve Rogers,,Alabama State,,,85,57,36.1,9.3,18.8,0.495,7.1,13.2,0.541,2.2,5.6,0.389,8,10.6,0.756,,,6.7,4.2,2.6,0.3,3.2,2.6,28.8,
Derrick Brown,2006-07,Xavier,A-10,FR,34,0,16.9,2.3,3.2,0.706,2.1,3,0.723,0.1,0.2,0.5,1.6,2.4,0.7,1.4,2.8,4.1,0.8,0.5,0.6,1.1,2.5,6.3,3.39
Derrick Brown,2007-08,Xavier,A-10,SO,37,37,28.1,4,6.6,0.609,3.7,5.7,0.649,0.3,0.9,0.344,2.6,3.7,0.706,2,4.5,6.5,1.7,0.9,0.8,1.9,2.5,10.9,5.47
Derrick Brown,2008-09,Xavier,A-10,JR,35,35,29.5,4.9,9.6,0.504,3.7,7.1,0.53,1.1,2.6,0.433,2.9,3.9,0.741,2.3,3.7,6.1,1.9,0.7,0.9,1.7,2.5,13.7,4.65
Derrick Brown,Career,Xavier,,,106,72,25,3.7,6.5,0.573,3.2,5.3,0.61,0.5,1.2,0.415,2.4,3.3,0.718,1.9,3.7,5.6,1.5,0.7,0.8,1.6,2.5,10.3,4.5
Josh Richardson,2011-12,Tennessee,SEC,FR,34,9,16,1.1,3,0.353,0.8,1.9,0.422,0.3,1.1,0.237,0.5,0.7,0.64,0.5,0.9,1.4,0.7,0.5,0.6,0.9,1.8,2.9,6.58
Josh Richardson,2012-13,Tennessee,SEC,SO,33,33,30.7,3,6.4,0.469,2.7,5.1,0.533,0.3,1.3,0.214,1.6,2.4,0.692,1.2,3.1,4.3,1.5,1.1,0.7,1.7,2.5,7.9,6.07
Josh Richardson,2013-14,Tennessee,SEC,JR,37,36,30.4,3.8,7.9,0.474,2.8,5.2,0.544,0.9,2.7,0.34,1.9,2.4,0.793,0.8,2.1,2.9,1.5,0.7,0.8,1,2.1,10.3,7.84
Josh Richardson,2014-15,Tennessee,SEC,SR,32,32,36.3,5.8,12.5,0.461,4.3,8.5,0.509,1.4,4,0.359,3.1,3.9,0.798,0.9,3.6,4.5,3.6,2.1,0.5,2.7,2.5,16,8.16
Josh Richardson,Career,Tennessee,,,136,110,28.3,3.4,7.4,0.456,2.6,5.1,0.516,0.7,2.3,0.318,1.8,2.3,0.758,0.9,2.4,3.2,1.8,1.1,0.6,1.5,2.2,9.2,7.16
Denham Brown,2002-03,UConn,Big East,FR,33,28,21.6,3,6.7,0.452,2.1,4.5,0.47,0.9,2.2,0.417,0.7,1.2,0.585,1.1,2.3,3.4,1.1,0.7,0.2,1.5,1.5,7.7,7.63
Denham Brown,2003-04,UConn,Big East,SO,39,27,25,3.3,7.6,0.438,2.4,5.3,0.459,0.9,2.4,0.391,1.3,1.8,0.729,0.9,3,3.9,1.2,0.5,0.1,1.5,1.4,8.9,7.77
Denham Brown,2004-05,UConn,Big East,JR,31,21,26.3,3.6,8.5,0.426,2.6,5.2,0.506,1,3.3,0.301,2.2,2.7,0.81,0.9,3.1,4,1.5,0.8,0.2,1.4,1.3,10.4,7.62
Denham Brown,2005-06,UConn,Big East,SR,32,20,23.6,3.7,9.1,0.403,2.7,6.2,0.439,0.9,2.9,0.326,2.5,2.8,0.868,1.3,3.1,4.4,1.4,0.8,0.4,1.7,1.7,10.7,6.57
Denham Brown,Career,UConn,,,135,96,24.1,3.4,7.9,0.429,2.5,5.3,0.466,0.9,2.7,0.354,1.6,2.1,0.776,1.1,2.9,3.9,1.3,0.7,0.2,1.5,1.5,9.4,7.4
Hanno Mottola,1996-97,Utah,WAC,FR,32,1,17.5,2.4,4.2,0.586,2.4,4.1,0.595,0,0.1,0,1.5,2.4,0.623,,,2.8,0.9,0.3,0.3,1.2,3,6.4,5.46
Hanno Mottola,1997-98,Utah,WAC,SO,34,34,28.2,4.6,9.5,0.489,4.2,7.9,0.53,0.5,1.6,0.291,2.7,3.6,0.754,1.9,3.4,5.3,0.8,0.4,0.5,2.3,2.2,12.5,4.9
Hanno Mottola,1998-99,Utah,WAC,JR,33,33,31,5.6,11.7,0.482,4.6,8.8,0.524,1,2.9,0.354,3,3.6,0.833,,,5.4,1.4,0.4,0.4,1.8,2.9,15.3,3.17
Hanno Mottola,1999-00,Utah,MWC,SR,21,19,27.6,5.5,11.1,0.498,4.5,8.2,0.549,1,2.9,0.35,5,6,0.827,,,4.8,1.7,0.2,0.6,3,3.2,17,4.36
Hanno Mottola,Career,Utah,,,120,87,26,4.5,9,0.5,3.9,7.2,0.542,0.6,1.8,0.333,2.9,3.7,0.774,,,4.6,1.2,0.3,0.4,2,2.8,12.4,4.47
Will Barton,2010-11,Memphis,CUSA,FR,35,25,30.6,4.8,11.1,0.428,3.7,6.9,0.527,1.1,4.2,0.265,1.7,2.4,0.699,1.4,3.5,4.9,2.8,1.5,0.5,2.5,2.3,12.3,3.14
Will Barton,2011-12,Memphis,CUSA,SO,35,34,35.3,6.6,12.9,0.509,5.5,9.9,0.559,1.1,3.1,0.346,3.8,5.1,0.749,2,6,8,2.9,1.4,0.7,2.1,2.1,18,5.26
Will Barton,Career,Memphis,,,70,59,32.9,5.7,12,0.471,4.6,8.4,0.546,1.1,3.6,0.299,2.7,3.7,0.733,1.7,4.8,6.5,2.9,1.5,0.6,2.3,2.2,15.2,4.2
Jon Leuer,2007-08,Wisconsin,Big Ten,FR,32,0,8.6,1.1,2.3,0.472,0.7,1.4,0.478,0.4,0.8,0.462,0.4,0.9,0.483,0.6,0.7,1.3,0.4,0.1,0.1,0.6,0.4,2.9,6.73
Jon Leuer,2008-09,Wisconsin,Big Ten,SO,33,12,21.3,3.5,7.5,0.466,3,5.8,0.513,0.5,1.6,0.296,1.4,2.3,0.605,1.4,2.5,3.8,0.8,0.5,0.6,1.3,1.9,8.8,8.43
Jon Leuer,2009-10,Wisconsin,Big Ten,JR,24,22,28.8,5.9,11.3,0.522,5.2,9.4,0.549,0.8,1.9,0.391,2.8,3.9,0.72,1.5,4.3,5.8,1.6,0.5,1.3,1,2.1,15.4,7.66
Jon Leuer,2010-11,Wisconsin,Big Ten,SR,34,34,33.5,6.7,14.2,0.47,5.1,9.9,0.513,1.6,4.3,0.37,3.3,3.9,0.843,1.7,5.6,7.2,1.6,0.5,0.9,1.6,2.2,18.3,9.42
Jon Leuer,Career,Wisconsin,,,123,68,22.8,4.2,8.7,0.482,3.4,6.5,0.521,0.8,2.2,0.368,2,2.7,0.723,1.3,3.2,4.5,1.1,0.4,0.7,1.2,1.6,11.2,8.06
Earl Watson,1997-98,UCLA,Pac-10,FR,33,33,32,2,5,0.392,1.3,3.1,0.436,0.6,2,0.323,1.2,2,0.606,,,3.7,3.2,1.9,0.4,2.5,2.5,5.8,10.99
Earl Watson,1998-99,UCLA,Pac-10,SO,31,31,34,4.6,10.7,0.435,3.6,7.4,0.487,1.1,3.3,0.32,2.9,4.1,0.703,,,3.7,4.6,1.6,0.4,4.1,3.1,13.3,8.86
Earl Watson,1999-00,UCLA,Pac-10,JR,33,33,34.7,4.2,9.2,0.451,2.9,5.8,0.505,1.2,3.5,0.36,1.8,2.8,0.649,,,3.9,5.9,1.8,0.5,3.1,2.8,11.4,10.11
Earl Watson,2000-01,UCLA,Pac-10,SR,32,32,34.8,5.4,10.9,0.493,4.2,7.5,0.556,1.2,3.4,0.352,2.8,4.4,0.636,1.3,2.3,3.7,5.2,1.9,0.3,3.4,3.1,14.7,12.07
Earl Watson,Career,UCLA,,,129,129,33.9,4,8.9,0.45,3,5.9,0.507,1,3,0.341,2.2,3.3,0.654,,,3.8,4.7,1.8,0.4,3.3,2.9,11.2,10.51
Chris Douglas-Roberts,2005-06,Memphis,CUSA,FR,34,25,22.6,3,5.6,0.531,2.7,4.8,0.571,0.3,0.9,0.31,2.1,2.8,0.745,1.3,2,3.3,1.5,0.8,0.4,2,1.9,8.3,4.24
Chris Douglas-Roberts,2006-07,Memphis,CUSA,SO,35,35,26.6,5.5,10.2,0.543,5,8.5,0.585,0.5,1.7,0.328,3.7,5.1,0.732,1.1,2.4,3.4,1.7,1.1,0.5,1.9,2.2,15.4,3.91
Chris Douglas-Roberts,2007-08,Memphis,CUSA,JR,40,40,28.7,6.5,12,0.541,5.4,9.3,0.578,1.1,2.7,0.413,4,5.7,0.712,1.3,2.8,4.1,1.8,1.2,0.5,2.1,1.7,18.1,5.76
Chris Douglas-Roberts,Career,Memphis,,,109,100,26.1,5.1,9.4,0.54,4.4,7.6,0.579,0.7,1.8,0.372,3.3,4.6,0.725,1.2,2.4,3.7,1.7,1,0.4,2,1.9,14.2,4.64
Doug Overton,1987-88,La Salle,MAAC,FR,34,19,27,3.2,6.5,0.498,3,5.7,0.526,0.2,0.8,0.296,1.1,1.3,0.841,0.7,1.7,2.4,2.7,1.3,0,1.3,1.6,7.8,-1.58
Doug Overton,1988-89,La Salle,MAAC,SO,32,32,38.2,5.4,11,0.494,4.6,9,0.516,0.8,2,0.4,1.5,1.8,0.797,,,3.2,7.6,3.1,0,3.3,1.5,13.2,-0.96
Doug Overton,1989-90,La Salle,MAAC,JR,32,32,37.6,6.3,12.1,0.519,4.6,8.2,0.559,1.7,3.9,0.435,3,3.7,0.798,1.2,3,4.2,6.6,2.7,0.1,3,1.8,17.2,-1.34
Doug Overton,1990-91,La Salle,MAAC,SR,25,,38.4,8,17.9,0.445,5.8,11.5,0.505,2.2,6.4,0.338,4.2,5.1,0.828,,,4.2,5,2,0,3.6,2.5,22.3,0.81
Doug Overton,Career,La Salle,,,123,83,35,5.6,11.4,0.486,4.4,8.4,0.526,1.2,3.1,0.378,2.3,2.8,0.814,,,3.4,5.5,2.3,0,2.7,1.8,14.6,-0.77
Lance Stephenson,2009-10,Cincinnati,Big East,FR,34,32,28.2,4.8,10.8,0.44,4.3,8.7,0.495,0.5,2.1,0.219,2.3,3.5,0.664,1.9,3.5,5.4,2.5,0.9,0.2,2.4,1.9,12.3,8.45
Lance Stephenson,Career,Cincinnati,,,34,32,28.2,4.8,10.8,0.44,4.3,8.7,0.495,0.5,2.1,0.219,2.3,3.5,0.664,1.9,3.5,5.4,2.5,0.9,0.2,2.4,1.9,12.3,8.45
Diamond Stone,2015-16,Maryland,Big Ten,FR,35,22,23.1,4.8,8.4,0.568,4.8,8.4,0.568,0,0,,2.9,3.8,0.761,2.2,3.2,5.4,0.4,0.5,1.6,1.5,2.3,12.5,8.31
Diamond Stone,Career,Maryland,,,35,22,23.1,4.8,8.4,0.568,4.8,8.4,0.568,0,0,,2.9,3.8,0.761,2.2,3.2,5.4,0.4,0.5,1.6,1.5,2.3,12.5,8.31
Chris Richard,2003-04,Florida,SEC,FR,30,0,13,1.5,2.5,0.605,1.5,2.5,0.605,0,0,,0.7,1.3,0.553,0.9,1.7,2.6,0.1,0.3,0.4,1,2.3,3.8,9.19
Chris Richard,2004-05,Florida,SEC,SO,32,0,12.4,1.4,2.3,0.616,1.4,2.3,0.616,0,0,,0.4,0.7,0.609,0.8,1.7,2.5,0.3,0.4,0.6,0.8,2,3.3,7.13
Chris Richard,2005-06,Florida,SEC,JR,39,0,17.5,2.5,3.6,0.698,2.5,3.6,0.698,0,0,,1,1.4,0.704,1.1,2.5,3.6,0.5,0.4,0.4,0.9,2.1,5.9,5.49
Chris Richard,2006-07,Florida,SEC,SR,40,4,18.4,2.5,3.6,0.69,2.5,3.6,0.69,0,0,,1.3,2.1,0.627,1.6,2.1,3.7,0.4,0.3,0.3,1.2,2.3,6.2,7.34
Chris Richard,Career,Florida,,,141,4,15.6,2,3,0.665,2,3,0.665,0,0,,0.9,1.4,0.631,1.1,2,3.2,0.3,0.3,0.4,1,2.2,4.9,7.28
Darius Morris,2009-10,Michigan,Big Ten,FR,32,19,24.3,1.6,4,0.406,1.4,2.8,0.506,0.2,1.2,0.179,0.9,1.4,0.63,0.4,1.4,1.8,2.6,0.6,0.2,1.6,1.9,4.4,9.37
Darius Morris,2010-11,Michigan,Big Ten,SO,35,34,34.8,5.7,11.7,0.489,5.3,9.9,0.533,0.5,1.8,0.25,3.1,4.3,0.715,0.9,3.1,4,6.7,1,0,2.9,2.1,15,10.68
Darius Morris,Career,Michigan,,,67,53,29.8,3.8,8,0.469,3.4,6.5,0.528,0.3,1.5,0.223,2,2.9,0.695,0.7,2.3,2.9,4.8,0.8,0.1,2.3,2,9.9,10.03
Jamaal Franklin,2010-11,San Diego State,MWC,FR,21,0,8.1,1.1,2.3,0.5,0.8,1.3,0.63,0.3,1,0.333,0.4,0.8,0.529,0.7,1.2,1.9,0.5,0.2,0.2,0.6,0.9,3,6.36
Jamaal Franklin,2011-12,San Diego State,MWC,SO,32,22,30.3,5.4,12.5,0.433,3.8,7.6,0.502,1.6,4.9,0.325,5,6.3,0.8,1.8,6.1,7.9,1.5,1,0.6,3,2.5,17.4,3.79
Jamaal Franklin,2012-13,San Diego State,MWC,JR,32,32,33.1,5.2,12.5,0.411,3.9,7.9,0.492,1.3,4.6,0.272,5.3,6.8,0.781,1.8,7.8,9.5,3.3,1.6,0.8,3.4,2.6,16.9,6.14
Jamaal Franklin,Career,San Diego State,,,85,54,25.9,4.3,10,0.426,3.1,6.2,0.504,1.2,3.8,0.302,4,5.1,0.78,1.5,5.5,7,1.9,1,0.6,2.6,2.1,13.7,5.43
Willie Green,1999-00,Detroit Mercy,MW Coll,FR,32,32,25,2.8,6.8,0.417,2,4.7,0.433,0.8,2.1,0.382,1.9,2.3,0.813,,,2.6,1.9,0.7,0.3,1.5,1.9,8.4,0.14
Willie Green,2000-01,Detroit Mercy,MW Coll,SO,33,30,30.7,5.1,10.7,0.474,4.1,8.1,0.508,1,2.6,0.372,2.1,2.9,0.722,1.3,3.7,5,2.4,1,0.1,2,2.5,13.2,2.44
Willie Green,2001-02,Detroit Mercy,Horizon,JR,29,27,30.6,5.1,11.8,0.431,4.2,8.7,0.482,0.9,3,0.284,2.7,4,0.67,1,3.2,4.2,1.9,0.8,0.3,2.2,2.6,13.7,1.05
Willie Green,2002-03,Detroit Mercy,Horizon,SR,30,30,34,8.1,16.6,0.49,6.9,13.3,0.519,1.2,3.3,0.374,5.1,6.3,0.805,1.1,3.9,4.9,2.5,1.3,0.4,2.3,2.4,22.6,-0.09
Willie Green,Career,Detroit Mercy,,,124,119,30,5.2,11.4,0.461,4.3,8.6,0.495,1,2.8,0.352,2.9,3.8,0.757,,,4.2,2.2,0.9,0.3,2,2.3,14.3,0.88
Steve Bardo,1986-87,Illinois,Big Ten,FR,31,10,20.3,1.4,3.3,0.412,1.3,3.2,0.414,0,0.1,0.333,1.1,1.6,0.68,,,3,2.7,0.7,0.5,1.7,2.3,3.8,8.66
Steve Bardo,1987-88,Illinois,Big Ten,SO,33,21,24.8,2.4,5.4,0.449,2.3,5.2,0.453,0.1,0.2,0.375,1.6,2.6,0.609,,,4.2,3.8,1.2,0.2,2.1,2.4,6.5,9.82
Steve Bardo,1988-89,Illinois,Big Ten,JR,36,30,27.8,2.6,5.9,0.443,1.8,4.3,0.425,0.8,1.6,0.492,2.1,2.7,0.792,,,4,4.1,0.9,0.2,1.7,2.5,8.1,12.42
Steve Bardo,1989-90,Illinois,Big Ten,SR,29,29,32.6,3.4,7.8,0.44,2.4,5.6,0.441,1,2.2,0.438,1.9,2.7,0.705,,,6.1,4.7,1.3,0.5,2.7,3,9.7,9.82
Steve Bardo,Career,Illinois,,,129,90,26.3,2.4,5.6,0.439,2,4.5,0.436,0.5,1,0.455,1.7,2.4,0.701,,,4.3,3.8,1,0.3,2,2.5,7,10.18
Tyshawn Taylor,2008-09,Kansas,Big 12,FR,35,33,26.5,3.4,6.8,0.506,2.7,4.9,0.561,0.7,1.9,0.364,2.2,3,0.724,0.3,1.9,2.2,3,1.1,0.2,2.4,2.3,9.7,7.9
Tyshawn Taylor,2009-10,Kansas,Big 12,SO,36,25,23.1,2.5,5.6,0.438,1.9,4.1,0.476,0.5,1.6,0.339,1.8,2.4,0.716,0.5,1.9,2.4,3.4,1.3,0.2,1.7,2.2,7.2,8.25
Tyshawn Taylor,2010-11,Kansas,Big 12,JR,36,30,27.1,3.2,6.7,0.479,2.7,5.3,0.505,0.5,1.4,0.38,2.3,3.2,0.719,0.3,1.6,1.9,4.6,1,0.3,2.7,1.9,9.3,7.62
Tyshawn Taylor,2011-12,Kansas,Big 12,SR,39,38,33.4,5.8,12.2,0.477,4.3,8.3,0.522,1.5,3.9,0.382,3.5,5.1,0.688,0.2,2.1,2.3,4.8,1.3,0.2,3.5,2,16.6,9.93
Tyshawn Taylor,Career,Kansas,,,146,126,27.7,3.8,7.9,0.477,3,5.7,0.518,0.8,2.2,0.37,2.5,3.5,0.708,0.3,1.9,2.2,3.9,1.2,0.2,2.6,2.1,10.8,8.42
Popeye Jones,1988-89,Murray State,OVC,FR,30,1,17.3,2.2,4.4,0.489,2.2,4.4,0.489,0,0,,1.4,1.9,0.754,,,4.6,0.7,0.6,0.2,1,2.2,5.8,-2.45
Popeye Jones,1989-90,Murray State,OVC,SO,30,30,34.6,7.2,14.5,0.5,6.7,13.3,0.505,0.5,1.1,0.441,4.6,6,0.757,,,11.2,2,1.9,0.6,2.4,2.7,19.5,-4.61
Popeye Jones,1990-91,Murray State,OVC,JR,33,32,31.9,8.1,16.5,0.493,7.9,15.5,0.51,0.2,1,0.219,3.7,5.2,0.711,,,14.2,2.1,1.2,1.2,2.5,2.9,20.2,-3.83
Popeye Jones,1991-92,Murray State,OVC,SR,30,29,33.1,7.7,15.8,0.488,7.5,15.2,0.492,0.2,0.6,0.389,5.4,6.9,0.778,,,14.4,2.4,1.4,0.9,3.4,3.3,21.1,-1.22
Popeye Jones,Career,Murray State,,,123,92,29.3,6.4,12.9,0.493,6.1,12.2,0.501,0.2,0.7,0.345,3.8,5,0.751,,,11.2,1.8,1.3,0.7,2.3,2.8,16.7,-3.03
Stephen Zimmerman Jr.,2015-16,UNLV,MWC,FR,26,24,26.2,3.9,8.2,0.477,3.7,7.6,0.492,0.2,0.7,0.294,2.4,3.9,0.624,2.2,6.6,8.7,0.8,0.5,2,2.1,3,10.5,3.17
Stephen Zimmerman Jr.,Career,UNLV,,,26,24,26.2,3.9,8.2,0.477,3.7,7.6,0.492,0.2,0.7,0.294,2.4,3.9,0.624,2.2,6.6,8.7,0.8,0.5,2,2.1,3,10.5,3.17
James Augustine,2002-03,Illinois,Big Ten,FR,32,29,21.8,2.9,5.1,0.58,2.8,4.6,0.601,0.2,0.4,0.357,1,1.4,0.711,2,3.8,5.8,0.8,0.6,0.8,1.4,3.3,7,6.76
James Augustine,2003-04,Illinois,Big Ten,SO,33,33,27.4,3.8,6,0.635,3.8,5.9,0.641,0,0.1,0,2.1,3.2,0.642,2.8,4.5,7.3,0.6,1.2,1.3,1.2,2.5,9.6,7.09
James Augustine,2004-05,Illinois,Big Ten,JR,39,39,26.6,3.6,5.8,0.621,3.6,5.8,0.621,0,0,,2.8,3.8,0.748,2.6,5,7.6,1.1,0.9,1.2,1.2,2.1,10.1,8.48
James Augustine,2005-06,Illinois,Big Ten,SR,33,33,32.7,5.3,8.5,0.624,5.2,8.4,0.625,0,0.1,0.5,3,4.6,0.651,3,6.1,9.1,1.8,1.4,0.7,2,2.5,13.6,6.29
James Augustine,Career,Illinois,,,137,134,27.1,3.9,6.3,0.617,3.9,6.2,0.623,0,0.1,0.333,2.3,3.3,0.687,2.6,4.9,7.5,1.1,1,1,1.5,2.6,10.1,7.15
Pat Connaughton,2011-12,Notre Dame,Big East,FR,34,18,24.1,2.5,5.9,0.423,1.3,2.4,0.543,1.2,3.5,0.342,0.8,1.1,0.757,1,3.4,4.4,0.9,0.5,0.1,0.7,1.4,7,6.47
Pat Connaughton,2012-13,Notre Dame,Big East,SO,35,35,32.1,3.1,7,0.445,1.5,2.6,0.56,1.7,4.4,0.377,1,1.4,0.708,0.7,4,4.7,2.1,0.5,0.3,0.9,1.5,8.9,7.24
Pat Connaughton,2013-14,Notre Dame,ACC,JR,32,32,37.2,4.8,10.7,0.452,2.5,4.4,0.556,2.4,6.3,0.378,1.7,2.1,0.833,1.2,5.9,7.1,3,1,0.6,1.1,1.8,13.8,6.78
Pat Connaughton,2014-15,Notre Dame,ACC,SR,38,38,35.6,4.4,9.4,0.466,1.9,3.6,0.537,2.4,5.8,0.423,1.3,1.7,0.781,1.1,6.3,7.4,1.5,0.7,0.9,1.2,2,12.5,7.02
Pat Connaughton,Career,Notre Dame,,,139,123,32.3,3.7,8.2,0.45,1.8,3.2,0.549,1.9,5,0.386,1.2,1.5,0.777,1,4.9,5.9,1.8,0.7,0.5,1,1.7,10.5,6.88
Jodie Meeks,2006-07,Kentucky,SEC,FR,34,1,22.1,2.8,6.7,0.419,1.5,3.1,0.481,1.3,3.6,0.364,1.8,2,0.897,0.9,2,2.8,1.5,0.9,0.1,1.2,1.3,8.7,11.41
Jodie Meeks,2007-08,Kentucky,SEC,SO,11,5,23.2,2.5,8,0.307,1,3.5,0.289,1.5,4.5,0.32,2.5,3.1,0.794,0.7,1.9,2.6,1.5,0.5,0.1,1.1,1.7,8.8,7.09
Jodie Meeks,2008-09,Kentucky,SEC,JR,36,36,34.4,7.3,15.8,0.463,4.1,7.8,0.521,3.3,8,0.406,5.9,6.5,0.902,0.5,2.9,3.4,1.8,1.3,0.1,2.7,1.9,23.7,4.82
Jodie Meeks,Career,Kentucky,,,81,42,27.7,4.8,10.9,0.436,2.6,5.2,0.491,2.2,5.7,0.386,3.7,4.1,0.89,0.7,2.4,3,1.6,1.1,0.1,1.8,1.6,15.4,7.77
Jason Sasser,1992-93,Texas Tech,SWC,FR,30,,24.3,3.9,9.1,0.434,3.4,7.3,0.463,0.6,1.8,0.315,2.2,3.5,0.629,,,5.1,1.6,1.1,0.1,2,2.6,10.6,1.56
Jason Sasser,1993-94,Texas Tech,SWC,SO,28,28,36.9,7.3,15.2,0.482,6.7,12.7,0.53,0.6,2.5,0.243,5.3,7.5,0.71,,,9.4,2.9,1.6,0.1,3,2.6,20.6,0.42
Jason Sasser,1994-95,Texas Tech,SWC,JR,30,,34.1,7,13.8,0.51,6.7,12.4,0.538,0.4,1.4,0.262,5.6,7.1,0.793,,,7.8,2.9,1.5,0.1,2.7,2.5,20.1,1.87
Jason Sasser,1995-96,Texas Tech,SWC,SR,31,31,34.5,6.5,14.2,0.458,5.5,11,0.503,1,3.3,0.307,5.5,7.5,0.726,,,7.8,2.9,0.7,0.1,2.8,2.1,19.5,2.11
Jason Sasser,Career,Texas Tech,,,119,59,32.4,6.2,13,0.474,5.5,10.8,0.514,0.6,2.2,0.285,4.7,6.4,0.727,,,7.5,2.6,1.2,0.1,2.6,2.4,17.7,1.49
Chris Carrawell,1996-97,Duke,ACC,FR,31,12,16.2,2.3,4,0.576,2.3,4,0.585,0,0.1,0,0.9,1.5,0.574,,,3.1,1.1,0.7,0.7,0.9,1.3,5.5,9.06
Chris Carrawell,1997-98,Duke,ACC,SO,32,10,22.2,3.8,7.8,0.482,3.3,6.7,0.502,0.4,1.2,0.368,2.1,3.2,0.641,1.7,2,3.7,1.1,0.6,0.7,1.5,1.2,10.1,9.32
Chris Carrawell,1998-99,Duke,ACC,JR,39,38,28.6,3.7,8.1,0.454,3.2,6.7,0.477,0.5,1.4,0.345,2,3.5,0.577,,,4.8,3.3,0.8,0.9,2.2,1.8,9.9,10.12
Chris Carrawell,1999-00,Duke,ACC,SR,34,34,35.6,6,12.4,0.486,5.2,10.1,0.51,0.9,2.3,0.377,4,5.2,0.778,,,6.1,3.2,1,1.1,2,1.7,16.9,8.88
Chris Carrawell,Career,Duke,,,136,94,26,4,8.2,0.486,3.5,6.9,0.509,0.5,1.3,0.36,2.3,3.4,0.667,,,4.5,2.3,0.8,0.8,1.7,1.5,10.7,9.34
Cuttino Mobley,1994-95,Rhode Island,A-10,SO,27,25,32,4.7,12.4,0.377,3.1,7.1,0.432,1.6,5.3,0.303,2.3,3,0.778,,,4.8,1.8,1.6,0.5,2.2,3.2,13.3,6.58
Cuttino Mobley,1995-96,Rhode Island,A-10,JR,2,,17.5,4.5,7,0.643,2,3.5,0.571,2.5,3.5,0.714,0.5,1,0.5,,,0,2.5,2,0,2,3,12,3.53
