name,season,school,conf,class,G,GS,MP_per,FG_per,FGA_per,FG%_per,2P_per,2PA_per,2P%_per,3P_per,3PA_per,3P%_per,FT_per,FTA_per,FT%_per,ORB_per,DRB_per,TRB_per,AST_per,STL_per,BLK_per,TOV_per,PF_per,PTS_per,SOS
Taylor Griffin,2007-08,Oklahoma,Big 12,JR,35,20,21.9,2.1,4.9,0.428,1.9,4.3,0.45,0.2,0.6,0.273,2.1,2.7,0.768,1.6,3.3,4.9,0.9,0.8,0.7,1.2,2.4,6.5,7.85
Taylor Griffin,2008-09,Oklahoma,Big 12,SR,36,36,30,3.5,6.5,0.536,3.3,6.1,0.548,0.1,0.4,0.357,2.5,3.6,0.7,2.3,3.6,5.8,1.3,1.3,1,1.7,2.8,9.6,6.88
Taylor Griffin,Career,Oklahoma,,,129,78,22.3,2.3,4.9,0.468,2.2,4.5,0.493,0.1,0.5,0.22,1.9,2.6,0.721,1.7,3,4.8,1,0.9,0.8,1.4,2.5,6.6,7.19
Brian Davis,1988-89,Duke,ACC,FR,29,0,8.4,0.7,1.8,0.385,0.7,1.8,0.385,0,0,,0.9,1.8,0.509,,,1.1,0.7,0.4,0,1,1.1,2.3,8.2
Brian Davis,1989-90,Duke,ACC,SO,37,0,14.4,1.7,3.5,0.477,1.7,3.5,0.477,0,0,,1.6,2.6,0.642,,,2.2,0.8,0.7,0.2,1,1.6,5,8.81
Brian Davis,1990-91,Duke,ACC,JR,39,11,23.2,2.7,5.8,0.456,2.6,5.7,0.462,0,0.1,0.2,2.3,3.1,0.73,,,4.1,1.6,1,0.2,1.5,2.1,7.6,10.63
Brian Davis,1991-92,Duke,ACC,SR,36,34,30.9,3.9,8.1,0.481,3.7,7,0.524,0.2,1.1,0.205,3.2,4.3,0.74,,,4.5,1.9,1.2,0.3,1.5,2.3,11.2,10.21
Brian Davis,Career,Duke,,,141,45,19.8,2.3,5,0.465,2.2,4.7,0.482,0.1,0.3,0.205,2.1,3,0.686,,,3.1,1.3,0.8,0.2,1.3,1.8,6.8,9.46
Ryan Kelly,2009-10,Duke,ACC,FR,35,0,6.5,0.5,1.3,0.356,0.3,0.7,0.423,0.1,0.5,0.263,0.1,0.2,0.667,0.2,0.9,1.1,0.4,0.2,0.4,0.2,1,1.2,9.21
Ryan Kelly,2010-11,Duke,ACC,SO,37,27,20.1,2.6,5,0.516,2,3.1,0.635,0.6,1.9,0.319,0.9,1.1,0.805,1.1,2.6,3.7,0.8,0.7,1.4,0.8,2.1,6.6,8.32
